"","Rank_1","Rank_2","Rank_3","Rank_4","Rank_5","Rank_6","Rank_7","Rank_8"
"OTU_40670","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40671","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40673","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4068","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4069","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40702","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40704","Root","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Sphaeronectidae","Sphaeronectes","Sphaeronectes koellikeri"
"OTU_40709","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40710","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40711","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40714","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40716","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40719","Root","Eukaryota","Discosea","Flabellinia","Dactylopodida","Paramoebidae","Paramoeba","unclassified_Paramoeba"
"OTU_40723","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40724","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40741","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4076","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
